row_number,plant_number,date,truss_number,brix,diameter,fruit_number,weight,total_sap,total_sap_mean,week_before_sap,week_before_sap_mean,week_after_sap,week_after_sap_mean
219,501,2019-04-18 00:00:00,3,,,6.0,699.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
221,503,2019-04-18 00:00:00,3,4.5,58.0,5.0,525.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
222,504,2019-04-18 00:00:00,3,,,7.0,662.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
223,505,2019-04-18 00:00:00,3,4.6,60.0,7.0,788.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
224,506,2019-04-18 00:00:00,3,,,6.0,543.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
225,507,2019-04-18 00:00:00,3,4.6,61.0,6.0,694.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
226,508,2019-04-18 00:00:00,3,,,6.0,676.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
227,509,2019-04-18 00:00:00,2,,,8.0,1008.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
227,509,2019-04-18 00:00:00,3,,,4.0,396.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
228,510,2019-04-18 00:00:00,2,5.1,61.0,6.0,686.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
229,511,2019-04-18 00:00:00,3,,,6.0,583.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
230,600,2019-04-18 00:00:00,5,,,8.0,396.0,67666.298,878.7830909090909,12924.53,1615.56625,16080.970000000001,2010.1212500000001
230,600,2019-04-18 00:00:00,6,,,7.0,323.0,67666.298,878.7830909090909,12924.53,1615.56625,16080.970000000001,2010.1212500000001
